text_id,n_words,n_vowels,oov_rate,schwa_v1_AH0,schwa_v2_AH0_IH0,schwa_v3_all_unstressed,schwa_v4_AH_any,cond_entropy,marg_entropy,ttr,mean_word_length,mean_sentence_length,msl_estimated,latinate_ratio,mean_syllables,fk_grade,meta_id,register,meta_source_path,source_path
written_2_technical_biomed_gb-2003-4-7-r42,7202,10751,0.07386836989725076,0.2833224816296159,0.3686168728490373,0.44116826341735654,0.3487117477443959,2.968933164224155,3.0407924955909786,0.19730630380449876,5.39975006942516,26.189090909090908,False,0.07136906414884754,1.828381005276312,16.198641316805936,written_2_technical_biomed_gb-2003-4-7-r42,technical,written_2/technical/biomed/gb-2003-4-7-r42.txt,oanc_texts/written_2_technical_biomed_gb-2003-4-7-r42.txt
spoken_telephone_switchboard_22_sw2279-ms98-a-trans,1902,2235,0.0010515247108307045,0.12527964205816555,0.16957494407158838,0.203579418344519,0.20939597315436242,3.264048615964265,3.4225091772798577,0.20347003154574134,3.675078864353312,1902.0,False,0.008937960042060988,1.2124079915878023,740.496414300736,spoken_telephone_switchboard_22_sw2279-ms98-a-trans,spoken_phone,spoken/telephone/switchboard/22/sw2279-ms98-a-trans.txt,oanc_texts/spoken_telephone_switchboard_22_sw2279-ms98-a-trans.txt
written_1_journal_slate_41_ArticleIP_3072,1450,2062,0.01310344827586207,0.23957322987390883,0.3331716779825412,0.3947623666343356,0.31328806983511154,3.0533334626934177,3.1273755500424323,0.4572413793103448,4.781379310344827,18.125,False,0.041379310344827586,1.5379310344827586,9.626336206896553,written_1_journal_slate_41_ArticleIP_3072,journal,written_1/journal/slate/41/ArticleIP_3072.txt,oanc_texts/written_1_journal_slate_41_ArticleIP_3072.txt
spoken_telephone_switchboard_28_sw2873-ms98-a-trans,1671,1935,0.004189108318372232,0.1281653746770026,0.17416020671834626,0.20930232558139536,0.23565891472868217,3.186373992229777,3.343159951607013,0.21244763614602036,3.679832435667265,1671.0,False,0.005385996409335727,1.2118491921005385,650.3998204667864,spoken_telephone_switchboard_28_sw2873-ms98-a-trans,spoken_phone,spoken/telephone/switchboard/28/sw2873-ms98-a-trans.txt,oanc_texts/spoken_telephone_switchboard_28_sw2873-ms98-a-trans.txt
written_2_technical_biomed_1471-213X-1-2,5023,7075,0.0820226956002389,0.25257950530035334,0.336678445229682,0.41950530035335687,0.3106713780918728,2.9986054333793413,3.1242528600048503,0.18236113876169618,5.10053752737408,17.320689655172412,False,0.07624925343420266,1.6760899860641052,10.942930801073683,written_2_technical_biomed_1471-213X-1-2,technical,written_2/technical/biomed/1471-213X-1-2.txt,oanc_texts/written_2_technical_biomed_1471-213X-1-2.txt
written_1_journal_slate_30_ArticleIP_1864,1123,1638,0.012466607301869992,0.2264957264957265,0.31684981684981683,0.39255189255189255,0.2802197802197802,3.106798533732101,3.2165709152400876,0.4363312555654497,4.672306322350846,16.27536231884058,False,0.06411398040961709,1.5814781834372218,9.418833868907047,written_1_journal_slate_30_ArticleIP_1864,journal,written_1/journal/slate/30/ArticleIP_1864.txt,oanc_texts/written_1_journal_slate_30_ArticleIP_1864.txt
written_2_technical_biomed_1472-6750-3-6,4499,6983,0.05401200266725939,0.2954317628526421,0.3919518831447802,0.4425032221108406,0.3472719461549477,2.9279086877931833,3.042265740354629,0.1887086019115359,5.486330295621249,23.190721649484537,False,0.08601911535896865,1.8555234496554789,15.349558149233623,written_2_technical_biomed_1472-6750-3-6,technical,written_2/technical/biomed/1472-6750-3-6.txt,oanc_texts/written_2_technical_biomed_1472-6750-3-6.txt
spoken_telephone_switchboard_22_sw2245-ms98-a-trans,2063,2507,0.0019389238972370335,0.13761467889908258,0.19226166733147187,0.23454327881930595,0.22417231751096928,3.269219431931577,3.376491115655765,0.24527387300048473,3.7513330101793505,2063.0,False,0.018904507998061076,1.2641783809985458,803.8973048957829,spoken_telephone_switchboard_22_sw2245-ms98-a-trans,spoken_phone,spoken/telephone/switchboard/22/sw2245-ms98-a-trans.txt,oanc_texts/spoken_telephone_switchboard_22_sw2245-ms98-a-trans.txt
written_1_journal_slate_34_ArticleIP_2236,1081,1499,0.02127659574468085,0.21747831887925284,0.2988659106070714,0.35557038025350235,0.28418945963975983,3.1085345471645303,3.216231349848686,0.47733580018501387,4.661424606845514,18.322033898305083,False,0.04070305272895467,1.5272895467160037,9.577609871587828,written_1_journal_slate_34_ArticleIP_2236,journal,written_1/journal/slate/34/ArticleIP_2236.txt,oanc_texts/written_1_journal_slate_34_ArticleIP_2236.txt
written_2_technical_plos_pmed.0020098,1123,1775,0.026714158504007122,0.23492957746478874,0.352112676056338,0.436056338028169,0.28056338028169014,3.026468171460521,3.1486521164879147,0.43989314336598395,5.287622439893143,22.46,False,0.0730186999109528,1.8032056990204808,14.447227248441674,written_2_technical_plos_pmed.0020098,technical,written_2/technical/plos/pmed.0020098.txt,oanc_texts/written_2_technical_plos_pmed.0020098.txt
written_2_technical_plos_pmed.0020140,2634,4385,0.05011389521640091,0.29418472063854045,0.3870011402508552,0.4663625997719498,0.3347776510832383,2.9267239595955283,3.062015994910405,0.27904328018223234,5.553910402429764,20.41860465116279,False,0.07403189066059225,1.9593773728170083,15.493908813194189,written_2_technical_plos_pmed.0020140,technical,written_2/technical/plos/pmed.0020140.txt,oanc_texts/written_2_technical_plos_pmed.0020140.txt
spoken_telephone_switchboard_26_sw2696-ms98-a-trans,1999,2319,0.0010005002501250625,0.13195342820181113,0.17205692108667528,0.21000431220353602,0.22164726175075464,3.27296311640613,3.381541683406913,0.2221110555277639,3.512256128064032,1999.0,False,0.013006503251625813,1.206103051525763,778.252016008004,spoken_telephone_switchboard_26_sw2696-ms98-a-trans,spoken_phone,spoken/telephone/switchboard/26/sw2696-ms98-a-trans.txt,oanc_texts/spoken_telephone_switchboard_26_sw2696-ms98-a-trans.txt
spoken_telephone_switchboard_37_sw3720-ms98-a-trans,1030,1227,0.002912621359223301,0.17929910350448247,0.22330888345558272,0.27383863080684595,0.2713936430317848,3.0414028073023864,3.208350284465242,0.2912621359223301,3.736893203883495,1030.0,False,0.013592233009708738,1.2388349514563106,400.7282524271845,spoken_telephone_switchboard_37_sw3720-ms98-a-trans,spoken_phone,spoken/telephone/switchboard/37/sw3720-ms98-a-trans.txt,oanc_texts/spoken_telephone_switchboard_37_sw3720-ms98-a-trans.txt
spoken_face-to-face_charlotte_NapierDianne,2225,2604,0.0044943820224719105,0.1774193548387097,0.2250384024577573,0.2761136712749616,0.2626728110599078,3.196656368230902,3.32628706237766,0.22561797752808987,3.8067415730337077,23.177083333333332,False,0.009887640449438202,1.2557303370786517,8.26668047752809,spoken_face-to-face_charlotte_NapierDianne,spoken_conv,spoken/face-to-face/charlotte/NapierDianne.txt,oanc_texts/spoken_face-to-face_charlotte_NapierDianne.txt
written_1_journal_slate_43_ArticleIP_3221,1190,1641,0.024369747899159664,0.20292504570383912,0.3113954905545399,0.36867763558805605,0.2730042656916514,3.0834188009770838,3.1846243098619755,0.5168067226890757,4.612605042016806,22.884615384615383,False,0.03697478991596639,1.5235294117647058,11.312647058823526,written_1_journal_slate_43_ArticleIP_3221,journal,written_1/journal/slate/43/ArticleIP_3221.txt,oanc_texts/written_1_journal_slate_43_ArticleIP_3221.txt
written_1_journal_slate_35_ArticleIP_2368,1792,2599,0.009486607142857142,0.24817237398999614,0.32627933820700267,0.38707195075028855,0.30434782608695654,3.1173608709990526,3.1943032788418764,0.40345982142857145,4.84765625,19.91111111111111,False,0.03459821428571429,1.5602678571428572,10.586494047619052,written_1_journal_slate_35_ArticleIP_2368,journal,written_1/journal/slate/35/ArticleIP_2368.txt,oanc_texts/written_1_journal_slate_35_ArticleIP_2368.txt
