text_id,n_words,n_vowels,schwa_v1_AH0,oov_g2p_filled,oov_still_missing,oov_fill_rate,register
spoken_telephone_switchboard_21_sw2160-ms98-a-trans,1320,1565,0.15271565495207667,2,0,1.0,spoken_phone
spoken_telephone_switchboard_21_sw2161-ms98-a-trans,1070,1332,0.1463963963963964,1,2,0.3333333333333333,spoken_phone
spoken_telephone_switchboard_21_sw2162-ms98-a-trans,1854,2262,0.14544650751547303,5,1,0.8333333333333334,spoken_phone
spoken_telephone_switchboard_21_sw2164-ms98-a-trans,1895,2290,0.1646288209606987,0,0,0.0,spoken_phone
spoken_telephone_switchboard_21_sw2165-ms98-a-trans,1736,2096,0.15362595419847327,5,3,0.625,spoken_phone
spoken_telephone_switchboard_21_sw2166-ms98-a-trans,1890,2252,0.16563055062166962,1,1,0.5,spoken_phone
spoken_telephone_switchboard_21_sw2167-ms98-a-trans,1199,1462,0.1320109439124487,3,1,0.75,spoken_phone
spoken_telephone_switchboard_21_sw2169-ms98-a-trans,2313,2751,0.15776081424936386,1,0,1.0,spoken_phone
spoken_telephone_switchboard_21_sw2171-ms98-a-trans,1794,2163,0.14609338881183542,2,0,1.0,spoken_phone
spoken_telephone_switchboard_21_sw2172-ms98-a-trans,2310,2695,0.1339517625231911,0,3,0.0,spoken_phone
spoken_telephone_switchboard_21_sw2173-ms98-a-trans,2391,2833,0.11754324038122133,2,0,1.0,spoken_phone
spoken_telephone_switchboard_21_sw2174-ms98-a-trans,1944,2343,0.15663679043960735,0,3,0.0,spoken_phone
spoken_telephone_switchboard_21_sw2176-ms98-a-trans,2146,2447,0.13240702901512055,1,0,1.0,spoken_phone
spoken_telephone_switchboard_21_sw2178-ms98-a-trans,1503,1761,0.12947189097103917,2,0,1.0,spoken_phone
spoken_telephone_switchboard_21_sw2179-ms98-a-trans,2237,2603,0.1648098348059931,3,4,0.42857142857142855,spoken_phone
spoken_telephone_switchboard_21_sw2180-ms98-a-trans,1445,1823,0.18869994514536478,3,0,1.0,spoken_phone
spoken_telephone_switchboard_21_sw2181-ms98-a-trans,2042,2584,0.17221362229102166,1,0,1.0,spoken_phone
spoken_telephone_switchboard_21_sw2182-ms98-a-trans,1850,2275,0.18285714285714286,1,0,1.0,spoken_phone
spoken_telephone_switchboard_21_sw2184-ms98-a-trans,1304,1588,0.13790931989924432,2,1,0.6666666666666666,spoken_phone
spoken_telephone_switchboard_21_sw2185-ms98-a-trans,1992,2320,0.1418103448275862,2,2,0.5,spoken_phone
spoken_telephone_switchboard_21_sw2186-ms98-a-trans,1926,2423,0.164259182831201,0,2,0.0,spoken_phone
spoken_telephone_switchboard_21_sw2187-ms98-a-trans,1996,2362,0.14775613886536834,6,2,0.75,spoken_phone
spoken_telephone_switchboard_21_sw2189-ms98-a-trans,1008,1303,0.17114351496546432,2,0,1.0,spoken_phone
spoken_telephone_switchboard_21_sw2190-ms98-a-trans,2240,2761,0.17710974284679465,0,0,0.0,spoken_phone
spoken_telephone_switchboard_21_sw2193-ms98-a-trans,2259,2728,0.1532258064516129,2,4,0.3333333333333333,spoken_phone
spoken_telephone_switchboard_21_sw2194-ms98-a-trans,1751,2239,0.18356409111210362,2,0,1.0,spoken_phone
spoken_telephone_switchboard_21_sw2196-ms98-a-trans,1937,2296,0.16681184668989546,0,0,0.0,spoken_phone
spoken_telephone_switchboard_21_sw2197-ms98-a-trans,1952,2525,0.18297029702970297,3,0,1.0,spoken_phone
spoken_telephone_switchboard_21_sw2198-ms98-a-trans,2343,2806,0.1307911617961511,7,1,0.875,spoken_phone
spoken_telephone_switchboard_21_sw2199-ms98-a-trans,2517,3017,0.1521378853165396,2,2,0.5,spoken_phone
spoken_telephone_switchboard_22_sw2201-ms98-a-trans,2143,2498,0.13370696557245795,0,2,0.0,spoken_phone
spoken_telephone_switchboard_22_sw2202-ms98-a-trans,2013,2530,0.15138339920948615,4,0,1.0,spoken_phone
spoken_telephone_switchboard_22_sw2203-ms98-a-trans,2113,2444,0.132569558101473,0,0,0.0,spoken_phone
spoken_telephone_switchboard_22_sw2205-ms98-a-trans,1618,2016,0.18204365079365079,4,0,1.0,spoken_phone
spoken_telephone_switchboard_22_sw2206-ms98-a-trans,1878,2243,0.13196611680784665,0,0,0.0,spoken_phone
