text_id,n_words,n_vowels,oov_rate,schwa_v1_AH0,schwa_v2_AH0_IH0,schwa_v3_all_unstressed,schwa_v4_AH_any,cond_entropy,marg_entropy,ttr,mean_word_length,mean_sentence_length,msl_estimated,latinate_ratio,mean_syllables,fk_grade,meta_id,register,meta_title,meta_author,meta_subjects,source_path
PG31518,36262,46950,0.02548122000992775,0.21703940362087326,0.2912247071352503,0.3423429179978701,0.28151224707135253,3.2185049336229556,3.244550562936762,0.15829242733439966,4.515443163642381,20.0,True,0.03303733936352104,1.4562076002426783,9.393249682863605,PG31518,fiction,Trusia: A Princess of Krovitch,"Brinton, Davis","{'Love stories', 'Princesses -- Fiction', 'Americans -- Europe -- Fiction', 'Adventure stories', 'Europe -- Fiction'}",spgc_texts/PG31518.txt
PG6344,29900,51381,0.07993311036789298,0.2874798077110216,0.361787431151593,0.45273544695510015,0.33907475525972636,3.0484509283257784,3.1029385345393843,0.15525083612040133,5.688963210702341,20.0,True,0.11538461538461539,1.9988294314381272,15.796187290969904,PG6344,science,The 2002 CIA World Factbook,United States. Central Intelligence Agency,"{'Political statistics -- Handbooks, manuals, etc.', 'Political science -- Handbooks, manuals, etc.', 'World politics -- Handbooks, manuals, etc.', 'Geography -- Handbooks, manuals, etc.'}",spgc_texts/PG6344.txt
PG41407,35469,49361,0.01987651188361668,0.24576082332205587,0.325945584570815,0.38919389801665283,0.3171127003099613,3.073202670088163,3.1091076542334086,0.16747018523217458,4.638754969127971,20.0,True,0.046322140460683975,1.5333389720601087,10.303399870309285,PG41407,biography,Shelley,"Symonds, John Addington","{'Poets, English -- 19th century -- Biography', 'Shelley, Percy Bysshe, 1792-1822'}",spgc_texts/PG41407.txt
PG16357,23376,29899,0.01210643394934976,0.2214789792300746,0.29676577811966953,0.35138298939763873,0.28536071440516403,3.1942530159937315,3.2389004795800185,0.16311601642710472,4.473862080766598,20.0,True,0.039057152635181384,1.4372861054072552,9.169976043805612,PG16357,fiction,Mary: A Fiction,"Wollstonecraft, Mary","{'Women -- Fiction', 'Feminist fiction', 'Autobiographical fiction'}",spgc_texts/PG16357.txt
PG45952,35507,50422,0.02782549919734137,0.27997699416921185,0.35764150569195985,0.41513625004958155,0.3565903772162945,2.967134384722348,2.999707174015243,0.12062410228968935,4.632720308671529,20.0,True,0.06418452699467711,1.5674092432478104,10.705429070324165,PG45952,religion,The Evolution of Old Testament Religion,"Orchard, W. E. (William Edwin)","{'Bible. Old Testament -- Theology', 'Judaism -- History -- To 70 A.D.'}",spgc_texts/PG45952.txt
PG39782,23912,29250,0.03487788558046169,0.22676923076923078,0.29644444444444445,0.34974358974358977,0.294974358974359,3.195200380875191,3.231555581250101,0.20169789227166277,4.3846186015389765,20.0,True,0.02224824355971897,1.3856222816995651,8.560342924054872,PG39782,children,Brownies and Bogles,"Guiney, Louise Imogen","{'Fairies -- Juvenile fiction', ""Will-o'-the-wisp -- Juvenile fiction"", 'Fantasy literature', 'Dwarfs -- Juvenile fiction', 'Kobolds -- Juvenile fiction', 'Goblins -- Juvenile fiction', 'Children -- Conduct of life -- Juvenile fiction', 'Trolls -- Juvenile fiction', 'Conduct of life -- Juvenile fiction', 'Mermen -- Juvenile fiction', 'Elves -- Juvenile fiction', 'Mermaids -- Juvenile fiction', 'Changelings -- Juvenile fiction', 'Puck (Legendary character) -- Juvenile fiction', 'Pixies -- Juvenile fiction'}",spgc_texts/PG39782.txt
PG2875,38508,46278,0.017528825179183548,0.2114395609144734,0.27639483123730496,0.31613293573620294,0.2824884394312632,3.2423641654535267,3.2724193787138693,0.1256622000623247,4.193751947647242,20.0,True,0.025734912226030953,1.328165575984211,7.8823537966136925,PG2875,religion,Personal Recollections of Joan of Arc — Volume 2,"Twain, Mark","{'Biographical fiction', 'France -- History -- Charles VII, 1422-1461 -- Fiction', 'Christian women saints -- Fiction', 'Joan, of Arc, Saint, 1412-1431 -- Fiction'}",spgc_texts/PG2875.txt
PG15636,5616,8142,0.004629629629629629,0.2815033161385409,0.3554409236059936,0.4180790960451977,0.3587570621468927,2.983160866991471,3.0392326429906933,0.23985042735042736,4.698539886039886,20.0,True,0.053062678062678066,1.5733618233618234,10.775669515669517,PG15636,science,The Future of Astronomy,"Pickering, Edward C. (Edward Charles)",{'Astronomy'},spgc_texts/PG15636.txt
PG40898,33271,46276,0.010369390760722552,0.24840089895410147,0.33090586913302794,0.3874578615264932,0.32137609127841643,3.077201841986179,3.107052202426546,0.17333413483213608,4.645426948393496,20.0,True,0.04947251360043281,1.5319948303327222,10.287538997926124,PG40898,biography,The Friendly Club and Other Portraits,"Parsons, Francis","{'Hartford (Conn.) -- Biography', 'Authors, American'}",spgc_texts/PG40898.txt
PG15269,34467,47367,0.032726956218992076,0.2695758650537294,0.3525872442839952,0.41157345831486053,0.35689404015453796,2.992076032062528,3.0227415773666197,0.14280326109031827,4.802680825137088,20.0,True,0.04720457248962776,1.5614936025763775,10.635624510401257,PG15269,history,The Empire of Russia: From the Remotest Periods to the Present Time,"Abbott, John S. C. (John Stevens Cabot)",{'Russia -- History'},spgc_texts/PG15269.txt
